[2026-06-18 20:54:04] Scout (ATT WINS): att=25, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:04] Scout (ATT WINS): att=99, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:04] Scout (ATT WINS): att=175, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:05] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:05] Scout (ATT WINS): att=272, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:06] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:06] Scout (ATT WINS): att=98, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:06] Scout (ATT WINS): att=199, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:06] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:08] Scout (ATT WINS): att=245, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:08] Scout (ATT WINS): att=72, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:08] Scout (ATT WINS): att=76, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:08] Scout (ATT WINS): att=165, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:08] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:08] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:08] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:08] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:08] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:09] Scout (DEF WINS): att=12, def=0, losses=0, spy_fails
[2026-06-18 20:54:09] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:09] Scout (ATT WINS): att=12, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:09] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=34, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=38, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=66, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=70, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:09] Scout (ATT WINS): att=174, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:10] Scout (ATT WINS): att=78, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:10] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:10] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:10] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:10] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=19, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=35, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=87, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=39, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:11] Scout (ATT WINS): att=50, def=0, losses=0, spy_level=4, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:11] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=34, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=33, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=16, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=48, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=49, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=13, def=0, losses=0, spy_level=4, only_spies=true
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
[2026-06-18 20:54:13] Scout (ATT WINS): att=0, def=0, losses=, spy_level=0, only_spies=false
